files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
2,MB,/tyrant-s03e01-hdtv-x264-killers-ettv-t12897130.html,"07 Jul 2016, 03:16",Tyrant S03E01 HDTV x264-KILLERS[ettv],magnet:?xt=urn:btih:F543820CA94F026FE3350A76F1D5EDCA52B507B2&dn=tyrant+s03e01+hdtv+x264+killers+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1483,/torrents.php?key=tyrant.s03e01.hdtv.x264.killers.ettv,112,291.49 
2,MB,/the-last-ship-s03e03-hdtv-x264-lol-ettv-t12841357.html,"27 Jun 2016, 02:00",The Last Ship S03E03 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:DDDC8D2EFF0CB6AD878C42A9A7978B3E2589292D&dn=the+last+ship+s03e03+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1492,/torrents.php?key=the.last.ship.s03e03.hdtv.x264.lol.ettv,89,386.92 
2,MB,/the-flash-2014-s02e22-hdtv-x264-lol-ettv-t12616500.html,"18 May 2016, 01:02",The Flash 2014 S02E22 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:3862F87DD97A8B154AA592FA74790A367C4349F8&dn=the+flash+2014+s02e22+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1499,/torrents.php?key=the.flash.2014.s02e22.hdtv.x264.lol.ettv,51,274.26 
2,MB,/the-bachelorette-s12e08-hdtv-x264-t12968490.html,"19 Jul 2016, 02:29",The Bachelorette S12E08 HDTV x264,magnet:?xt=urn:btih:1896170BF6AD6E9015ABE61F7A10D46B137C4790&dn=the+bachelorette+s12e08+hdtv+x264&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1425,/torrents.php?key=the.bachelorette.s12e08.hdtv.x264,181,738.25 
1,MB,/stranger-things-s01e02-french-webrip-xvid-zt-t12952466.html,"16 Jul 2016, 13:10",Stranger Things S01E02 FRENCH WEBRip XviD-ZT,magnet:?xt=urn:btih:C35F93408EE0A62FBCCB2E3E5C056AC6AC5DBA39&dn=stranger+things+s01e02+french+webrip+xvid+zt&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,843,/torrents.php?key=devious.maids.s04e02.hdtv.x264.fleet.rartv,69,444.04 
3,MB,/mr-robot-s02e02-720p-hdtv-x264-avs-rartv-t12938138.html,"14 Jul 2016, 03:32",Mr Robot S02E02 720p HDTV x264-AVS[rartv],magnet:?xt=urn:btih:BDEBA7F98DBA491761E34C50B5163D355E573E92&dn=mr+robot+s02e02+720p+hdtv+x264+avs+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,2478,/torrents.php?key=mr.robot.s02e02.720p.hdtv.x264.avs.rartv,153,626.38 
2,MB,/arrow-s04e23-hdtv-x264-lol-ettv-t12662513.html,"26 May 2016, 01:20",Arrow S04E23 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:D83C61EA0B60B641CF13F61BFBF8095113E9573D&dn=arrow+s04e23+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1446,/torrents.php?key=arrow.s04e23.hdtv.x264.lol.ettv,84,300.75 
2,MB,/dark-matter-s02e01-hdtv-x264-killers-ettv-t12868669.html,"02 Jul 2016, 03:05",Dark Matter S02E01 HDTV x264-KILLERS[ettv],magnet:?xt=urn:btih:BDD873916040DDDA90DA0E32B9B7AC0CF623FD68&dn=dark+matter+s02e01+hdtv+x264+killers+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1441,/torrents.php?key=dark.matter.s02e01.hdtv.x264.killers.ettv,53,227.93 
1,MB,/stranger-things-s01e03-french-webrip-xvid-zt-t12952467.html,"16 Jul 2016, 13:10",Stranger Things S01E03 FRENCH WEBRip XviD-ZT,magnet:?xt=urn:btih:006BC70D1A74AE199F6CBC6AB7C1ADAB7C89922E&dn=stranger+things+s01e03+french+webrip+xvid+zt&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,839,/torrents.php?key=the.flash.2014.s02e16.hdtv.x264.lol.ettv,75,433.66 
3,MB,/devious-maids-s04e02-hdtv-x264-fleet-rartv-t12767852.html,"14 Jun 2016, 02:01",Devious Maids S04E02 HDTV x264-FLEET[rartv],magnet:?xt=urn:btih:1835882A90E724499759EDC2C87FB7538E24975C&dn=devious+maids+s04e02+hdtv+x264+fleet+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,849,/torrents.php?key=lucifer.s01e13.hdtv.x264.lol.ettv,52,292.38 
